Domain,Domain_Number,Sample_Size,Countries,Continents,Country_List
Citizenship,1,500,33,6,AT; AU; BE; CH; CL; CZ; DE; DK; ES; FI; FR; GB-GBN; GE; HR; IL; IN; IS; JP; KR; LT; NL; NO; PH; PL; RU; SE; SI; SK; TAIWAN; TR; US; VE; ZA
Environment,2,500,28,5,AT; AU; CH; CN; DE; DK; ES; FI; FR; HR; HU; IN; IS; IT; JP; KR; LT; NO; NZ; PH; RU; SE; SI; SK; TH; TW; US; ZA
Family,3,500,39,6,AR; AT; AU; BE; BG; CA; CH; CL; CN; CZ; DE; DK; FI; FR; GB-GBN; HR; IE; IL; IN; IS; JP; KR; LT; LV; MX; NL; NO; PH; PL; PT; RU; SE; SI; SK; TR; TW; US; VE; ZA
Health,4,500,28,5,AT; AU; CH; CN; CZ; DE; DK; FI; FR; HR; HU; IL; IN; IS; IT; JP; MX; NO; NZ; PH; PL; RU; SI; SK; TH; TW; US; ZA
NationalIdentity,6,500,35,3,BE-BRU; BE-FLA; BE-WAL; CH; CZ; DE-E; DE-W; DK; EE; ES; FI; FR; GB-GBN; GE; HR; HU; IE; IL-A; IL-J; IN; JP; KR; LT; LV; MX; NO; PH; PT; RU; SE; SI; SK; TR; TW; US
Religion,7,500,30,5,CH; CL; CZ; DE; DK; ES; FI; FR; GB-GBN; GE; HR; HU; IL; IS; IT; JP; KR; LT; NO; PH; RU; SE; SI; SK; SR; TH; TR; TW; US; ZA
RoleofGovernment,8,500,30,6,AU; BE; CH; CL; CZ; DE; DK; ES; FI; FR; GB-GBN; HR; IL; IN; JP; KR; LT; LV; NO; RU; SE; SI; SK; SR; TH; TR; TW; US; VE; ZA
SocialInequality,9,500,25,6,AT; AU; BG; CH; CL; CZ; DE; FI; FR; GB-GBN; HR; IL; IS; IT; LT; NZ; PH; RU; SE; SR; TH; TW; US; VE; ZA
SocialNetworks,10,500,28,6,AT; AU; CH; CN; CZ; DE; ES; FI; FR; GB-GBN; HR; HU; IL; IN; IS; JP; LT; MX; NZ; PH; RU; SE; SK; SR; TH; TW; US; ZA
WorkOrientations,11,500,35,6,AT; AU; BE; CH; CL; CN; CZ; DE; EE; ES; FI; FR; GB-GBN; GE; HR; HU; IL; IN; IS; JP; LT; LV; MX; NO; NZ; PH; PL; RU; SE; SI; SK; SR; TW; US; ZA
